bg2010gj,bg2010ge,bg2020gj,bg2020ge,wt_pop,wt_adult,wt_hh,wt_fam,wt_hu,parea
G39000300120001,390030120001,G39000300120001,390030120001,1,1,1,1,1,1
G39000300120002,390030120002,G39000300120002,390030120002,1,1,1,1,1,1
G39000300121001,390030121001,G39000300121001,390030121001,1,1,1,1,1,1
G39000300121002,390030121002,G39000300121002,390030121002,1,1,1,1,1,1
G39000300122001,390030122001,G39000300122001,390030122001,1,1,1,1,1,1
G39000300122002,390030122002,G39000300122002,390030122002,1,1,1,1,1,1
G39000300123001,390030123001,G39000300123001,390030123001,1,1,1,1,1,1
G39000300123002,390030123002,G39000300123002,390030123002,1,1,1,1,1,1
G39000300123003,390030123003,G39000300123003,390030123003,1,1,1,1,1,1
G39000300124001,390030124001,G39000300124002,390030124002,1,1,1,1,1,1
G39000300124002,390030124002,G39000300124002,390030124002,1,1,1,1,1,1
G39000300124003,390030124003,G39000300124001,390030124001,1,1,1,1,1,1
G39000300126001,390030126001,G39000300126001,390030126001,1,1,1,1,1,1
G39000300126002,390030126002,G39000300126002,390030126002,1,1,1,1,1,1
G39000300127001,390030127001,G39000300127001,390030127001,1,1,1,1,1,1
G39000300127002,390030127002,G39000300127002,390030127002,1,1,1,1,1,1
G39000300129001,390030129001,G39000300129001,390030129001,1,1,1,1,1,1
G39000300129002,390030129002,G39000300129002,390030129002,1,1,1,1,1,1
G39000300130001,390030130001,G39000300130001,390030130001,1,1,1,1,1,1
G39000300130002,390030130002,G39000300130002,390030130002,1,1,1,1,1,1
G39000300130003,390030130003,G39000300130003,390030130003,1,1,1,1,1,1
G39000300130004,390030130004,G39000300130004,390030130004,1,1,1,1,1,1
G39000300131001,390030131001,G39000300131001,390030131001,1,1,1,1,1,1
G39000300131002,390030131002,G39000300131002,390030131002,1,1,1,1,1,1
G39000300132001,390030132001,G39000300132001,390030132001,1,1,1,1,1,1
G39000300132002,390030132002,G39000300132002,390030132002,1,1,1,1,1,1
G39000300133001,390030133001,G39000300133001,390030133001,1,1,1,1,1,1
G39000300133002,390030133002,G39000300133002,390030133002,1,1,1,1,1,1
G39000300134001,390030134001,G39000300134001,390030134001,1,1,1,1,1,1
G39000300134002,390030134002,G39000300134002,390030134002,1,1,1,1,1,1
G39000300134003,390030134003,G39000300134003,390030134003,1,1,1,1,1,1
G39000300134004,390030134004,G39000300134004,390030134004,1,1,1,1,1,1
G39000300134004,390030134004,G39000300118001,390030118001,0,0,0,0,0,0
G39000300136001,390030136001,G39000300136001,390030136001,1,1,1,1,1,1
G39000300137001,390030137001,G39000300137001,390030137001,1,1,1,1,1,1
G39000300138001,390030138001,G39000300138001,390030138001,1,1,1,1,1,1
G39000300138002,390030138002,G39000300138002,390030138002,1,1,1,1,1,1
G39000300138003,390030138003,G39000300138003,390030138003,1,1,1,1,1,1
G39000300139001,390030139001,G39000300139001,390030139001,1,1,1,1,1,1
G39000300139002,390030139002,G39000300139002,390030139002,1,1,1,1,1,1
G39000300139003,390030139003,G39000300139003,390030139003,1,1,1,1,1,1
G39000300140001,390030140001,G39000300140001,390030140001,1,1,1,1,1,1
G39000300140002,390030140002,G39000300140002,390030140002,1,1,1,1,1,1
G39000300140003,390030140003,G39000300140003,390030140003,1,1,1,1,1,1
G39000300141001,390030141001,G39000300112002,390030112002,2.67094017e-4,3.64564346e-4,3.43406593e-4,0,5.78368999e-4,0.003043947142
G39000300141001,390030141001,G39000300141001,390030141001,0.999732905983,0.999635435654,0.999656593407,1,0.999421631001,0.996956052858
