region_id,size_rank,region_name,region_type,state_name,date,price_cut_perc_median,price_cut_perc_mean,sales_count_nowcast,mean_days_upto_close,pct_sold_below_list,pct_sold_above_list,median_sale_to_list_ratio,median_sale_price,median_list_price,mean_days_pending,new_pending_count,new_listings_count,invt_for_sale,zori_calc,zhvi
394304,83,"Akron, OH","msa","OH","2022.03.31",.0492441,.0557323,637,39,.370364,.4671545,1.000348,172837,159967,24,673,668,1342,1077.999,194464.7
394304,83,"Akron, OH","msa","OH","2020.06.30",.035528,.0421314,742,,.5214679,.3249231,.9942515,154924,170617,46,699,888,2557,904.6351,159251.8
394304,83,"Akron, OH","msa","OH","2020.01.31",.0384958,.0459253,410,28,.6380709,.1889181,.9810989,154544,151267,68,508,599,2883,887.676,154523.3
394304,83,"Akron, OH","msa","OH","2023.01.31",.0428888,.049733,364,35,.5412658,.2831082,.9887046,179086,172283,33,521,521,1598,1181.15,203448.8
394304,83,"Akron, OH","msa","OH","2021.08.31",.0440594,.0520205,944,40,.2702684,.5893232,1.016235,165807,179550,13,1041,1247,2141,1016.365,187115.5
394304,83,"Akron, OH","msa","OH","2021.12.31",.0454703,.0522745,797,41,.3758225,.4508085,1,178540,161625,22,751,764,1781,1048.107,187131.9
394304,83,"Akron, OH","msa","OH","2019.12.31",.0394118,.0466204,545,27,.6149237,.1993766,.9846202,153920,154600,66,523,691,3172,885.408,153705.5
394304,83,"Akron, OH","msa","OH","2019.02.28",.0383591,.045579,441,27,.7153819,.1575136,.9729609,147028,151267,78,427,547,2686,860.8041,147720.1
394304,83,"Akron, OH","msa","OH","2019.09.30",.0378089,.0442162,706,26,.5778552,.2575667,.9868789,148692,169133,54,683,1044,3648,880.8129,151877.7
394304,83,"Akron, OH","msa","OH","2022.05.31",.0514041,.0594119,774,37,.2812532,.5866576,1.017603,178117,182967,14,902,1014,1633,1104.987,199240.5
394304,83,"Akron, OH","msa","OH","2021.06.30",.0437088,.0514008,927,41,.2755385,.5761904,1.012535,162740,174633,13,934,1091,1690,992.749,184089.7
394304,83,"Akron, OH","msa","OH","2020.11.30",.0390978,.0440678,783,35,.4209126,.4149864,1,169804,166933,35,850,912,2342,927.7874,167993.9
394304,83,"Akron, OH","msa","OH","2023.02.28",.0439696,.0523683,418,35,.561801,.2740898,.9853243,181094,169850,35,517,495,1437,1181.143,203777.1
394304,83,"Akron, OH","msa","OH","2022.09.30",.0442905,.0517319,770,36,.325792,.5292127,1.007151,189806,186817,19,865,999,2041,1138.192,202721.3
394304,83,"Akron, OH","msa","OH","2020.07.31",.0359751,.0419595,966,34,.4849503,.3534099,.9971526,154282,175617,40,806,1047,2661,909.6794,159790.1
394304,83,"Akron, OH","msa","OH","2018.09.30",.0366939,.0436945,690,26,.5902996,.2410033,.9856044,143118,162600,56,720,1074,3918,842.436,143748.1
394304,83,"Akron, OH","msa","OH","2020.05.31",.0368391,.0440655,605,32,.5515529,.2829976,.9914101,157564,166633,53,630,821,2582,901.9359,158766.4
394304,83,"Akron, OH","msa","OH","2020.09.30",.0371066,.0423514,907,34,.4192162,.4232627,1,162351,177267,36,924,1067,2663,914.27,162939.5
394304,83,"Akron, OH","msa","OH","2022.01.31",.047174,.0541557,563,41,.3795607,.4413191,1,176260,154992,26,654,636,1556,1045.27,188808
394304,83,"Akron, OH","msa","OH","2022.08.31",.0479505,.0553404,849,37,.2669409,.5997396,1.01816,190615,191817,15,940,1105,2064,1129.73,202753.8
394304,83,"Akron, OH","msa","OH","2022.11.30",.0417342,.0491741,579,35,.4384685,.3986917,.9980645,181834,176033,23,663,805,1935,1157.322,203055.1
394304,83,"Akron, OH","msa","OH","2022.06.30",.0541161,.0625615,844,37,.2303625,.6376604,1.028264,182375,191300,12,967,1150,1842,1112.439,201099.3
394304,83,"Akron, OH","msa","OH","2019.08.31",.0378306,.0446994,880,27,.5528818,.2681094,.9904009,151123,171450,51,704,1112,3653,877.41,151588.1
394304,83,"Akron, OH","msa","OH","2020.12.31",.0405125,.046277,798,37,.4451188,.3809835,1,165715,159267,36,660,737,2059,936.058,170494
394308,64,"Albany, NY","msa","NY","2022.02.28",.0433133,.0484265,302,71,.3838199,.4834332,1.000039,278375,259917,38,554,546,1714,1434.862,280147.7
394308,64,"Albany, NY","msa","NY","2019.07.31",.0337916,.0391934,616,57,.5413592,.3373874,.9918661,196988,230998,51,681,894,3030,1228.849,231217.7
394308,64,"Albany, NY","msa","NY","2020.06.30",.0334164,.0399329,360,62,.5524809,.3260964,.9909509,207779,224933,56,532,594,1866,1241.281,240324.7
394308,64,"Albany, NY","msa","NY","2019.06.30",.0329703,.0390734,534,55,.5697327,.3213165,.9890147,194123,230298,55,678,897,2936,1222.504,230471.3
394308,64,"Albany, NY","msa","NY","2023.04.30",.0447469,.0515388,276,61,.4210874,.4752541,1.001428,293821,296283,32,572,625,1574,1535.089,303198.2
394308,64,"Albany, NY","msa","NY","2019.01.31",.0353463,.0415479,411,56,.643464,.2693006,.9795909,192978,226517,81,363,408,2723,1211.562,226322.6
394308,64,"Albany, NY","msa","NY","2022.06.30",.0450135,.0519368,364,64,.2569384,.6396945,1.028771,300972,291976,19,934,1223,2284,1479.766,292939
394308,64,"Albany, NY","msa","NY","2021.12.31",.0407791,.0465838,525,72,.3360882,.5253837,1.000326,274452,262717,37,786,781,2398,1410.751,276053.3
394308,64,"Albany, NY","msa","NY","2020.05.31",.0327497,.0401724,400,60,.5681952,.3039536,.9882905,208787,221600,63,420,473,1798,1247.205,239475.9
394308,64,"Albany, NY","msa","NY","2022.09.30",.0423467,.0487566,381,65,.2520665,.6413264,1.021252,314725,299300,26,849,979,2592,1509.871,295980.2
394308,64,"Albany, NY","msa","NY","2018.08.31",.0352688,.041642,767,56,.5144631,.3844079,.9959173,193092,226333,50,634,852,3259,1197.265,224138.3
394308,64,"Albany, NY","msa","NY","2019.02.28",.035646,.0411151,324,56,.6666005,.2504268,.9767522,192603,225650,85,365,400,2533,1215.285,227075.9
394308,64,"Albany, NY","msa","NY","2021.07.31",.0418139,.0473063,838,66,.2255173,.6767853,1.025685,258579,275000,18,1103,1422,2668,1359.174,271482.3
394308,64,"Albany, NY","msa","NY","2020.01.31",.0338344,.039551,401,61,.6407181,.2726628,.9811802,199330,219933,83,380,331,2221,1242.078,236317.2
394308,64,"Albany, NY","msa","NY","2021.09.30",.0409259,.0469145,687,71,.2375433,.6657615,1.02468,264893,269967,24,1065,1242,2938,1370.049,273173.9
394308,64,"Albany, NY","msa","NY","2019.04.30",.0334025,.0396232,435,54,.6472003,.2731355,.9791748,193751,228233,74,516,650,2574,1214.106,229125.3
394308,64,"Albany, NY","msa","NY","2020.03.31",.032909,.0415257,352,59,.6433904,.2511837,.9817128,201701,217967,79,453,454,1936,1253.041,238107.9
394308,64,"Albany, NY","msa","NY","2020.08.31",.0326573,.0388804,601,62,.4840496,.3997107,.9969219,202531,236050,43,782,847,2080,1256.777,242966
394308,64,"Albany, NY","msa","NY","2020.02.29",.0341545,.0415763,331,60,.6594002,.2515406,.980419,201759,217967,88,401,359,2017,1243.205,237236.6
394308,64,"Albany, NY","msa","NY","2021.08.31",.04241,.047878,810,69,.2236484,.6791176,1.027751,261822,273300,20,1110,1391,2884,1364.139,272664.9
394308,64,"Albany, NY","msa","NY","2022.08.31",.0430885,.0490485,446,64,.2202628,.6750332,1.032318,315888,299600,22,937,1163,2642,1502.299,296066.7
394308,64,"Albany, NY","msa","NY","2021.05.31",.039475,.0455988,542,64,.3263459,.5476009,1.007976,240215,261633,22,946,1151,2040,1335.676,266933.4
394308,64,"Albany, NY","msa","NY","2022.07.31",.0450232,.0513642,385,63,.2234273,.6711207,1.034191,312594,298683,19,962,1249,2524,1492.845,294935.3
394308,64,"Albany, NY","msa","NY","2019.03.31",.0342557,.0400724,398,55,.6689952,.2416737,.9763128,196380,226567,83,438,529,2511,1215.073,228180.7
394308,64,"Albany, NY","msa","NY","2020.07.31",.0320337,.0389254,581,63,.5205424,.3554976,.9963088,205033,231350,47,713,773,2015,1242.463,241409.3
