,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,zhvi,zhvi,zhvi,zhvi,zhvi,zhvi,zhvi,zhvi,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,median_list_price,median_list_price,median_list_price,median_list_price,median_list_price,median_list_price,median_list_price,median_list_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
HI,28.0,0.3882,0.0867,0.2906,0.3152,0.348,0.4632,0.5529,28.0,42.6429,11.1562,30.0,34.0,38.5,50.5,68.0,57.0,772.6491,163.9434,368.0,671.0,795.0,901.0,1113.0,57.0,748976.9469,88164.8311,668276.6538,671207.5426,702639.1662,841257.9953,901915.8925,57.0,3698.1754,974.2965,2382.0,2720.0,4082.0,4503.0,5212.0,57.0,668775.6491,61855.3479,592667.0,623333.0,649667.0,684917.0,791667.0,57.0,635115.9825,54719.3599,560284.0,586231.0,623369.0,691321.0,736625.0
IA,57.0,0.5271,0.1196,0.2829,0.4531,0.5584,0.628,0.6889,57.0,46.2456,19.8074,15.0,29.0,48.0,59.0,84.0,57.0,1049.8947,293.8328,450.0,820.0,1056.0,1267.0,1648.0,57.0,226795.9256,26258.2497,191214.0421,202690.2636,221883.8198,249954.7665,270063.9487,57.0,3240.807,1003.4719,1654.0,2460.0,3077.0,4170.0,4843.0,57.0,257409.4035,14809.8849,223267.0,251667.0,258267.0,263862.0,297000.0,57.0,217122.9298,19150.288,184109.0,201282.0,222959.0,232470.0,245496.0
ID,26.0,0.3933,0.181,0.136,0.2454,0.3813,0.5523,0.6662,57.0,31.2982,14.2916,9.0,20.0,29.0,41.0,66.0,57.0,1108.8246,322.1671,432.0,845.0,1122.0,1303.0,1796.0,57.0,410281.8692,74999.4096,297658.9852,336428.2082,404279.902,482589.6196,515899.7504,57.0,3064.5263,1006.8131,1325.0,2099.0,3219.0,3864.0,4536.0,57.0,435136.8246,85163.2703,324393.0,354639.0,424064.0,511630.0,572333.0,57.0,380694.7544,82791.4964,267086.0,299389.0,380388.0,459699.0,509928.0
IL,57.0,0.5991,0.1378,0.3117,0.4953,0.6102,0.7166,0.7741,57.0,47.2807,16.3399,20.0,36.0,47.0,56.0,83.0,57.0,10543.8246,3096.9014,3885.0,8454.0,10555.0,12992.0,17386.0,57.0,258871.7783,27068.9257,226784.1121,233231.5413,249714.6415,286004.6034,299719.1318,57.0,36841.7895,8996.5609,20829.0,30715.0,38250.0,42454.0,52135.0,57.0,301531.0,11097.9966,280000.0,295633.0,301300.0,308833.0,324967.0,57.0,259245.6491,24573.0284,222986.0,235657.0,265235.0,284758.0,295402.0
IN,57.0,0.479,0.1392,0.2282,0.3493,0.4989,0.5922,0.6962,57.0,28.2281,12.4657,10.0,18.0,27.0,36.0,57.0,57.0,2734.2982,621.6139,1330.0,2344.0,2763.0,3179.0,3794.0,57.0,218134.1742,37620.6206,169659.2304,182733.15,209114.6049,255249.237,273458.4644,57.0,6271.8772,1440.3298,3792.0,5230.0,6180.0,7161.0,8939.0,57.0,240944.7895,19698.5526,210950.0,224667.0,237633.0,249600.0,281600.0,57.0,217336.0526,32472.0039,173032.0,186893.0,215417.0,246615.0,268545.0
KS,57.0,0.407,0.1226,0.1808,0.3232,0.381,0.4972,0.6525,57.0,34.5965,16.3934,11.0,21.0,32.0,49.0,69.0,57.0,288.6316,93.1532,94.0,230.0,298.0,357.0,469.0,57.0,163360.8582,24996.3749,130459.3042,140035.8589,160023.2934,185824.0321,206799.2361,57.0,1920.7368,593.1443,1075.0,1442.0,1807.0,2513.0,3065.0,57.0,189851.8772,14656.6904,162367.0,180000.0,186567.0,201667.0,219967.0,57.0,174755.6316,20645.7075,146129.0,155901.0,173670.0,191169.0,213000.0
KY,57.0,0.4914,0.1064,0.2908,0.4111,0.5009,0.5673,0.6601,57.0,32.7368,13.8455,13.0,22.0,33.0,40.0,64.0,57.0,1718.0526,365.9486,864.0,1480.0,1764.0,1980.0,2426.0,57.0,210672.9092,25398.7042,174612.8497,186874.5508,208112.2921,234000.5022,249156.5103,57.0,4099.7895,1033.4904,2648.0,3234.0,3862.0,5019.0,5900.0,57.0,238757.7544,11183.3688,219283.0,230633.0,235773.0,249300.0,259000.0,57.0,208722.8246,23476.5543,173249.0,186599.0,210110.0,227089.0,245332.0
LA,108.0,0.5586,0.0995,0.367,0.4818,0.5674,0.6457,0.7388,111.0,56.6306,25.5702,20.0,32.5,59.0,73.0,114.0,114.0,970.8421,269.3781,429.0,762.75,965.0,1124.5,1851.0,114.0,207985.9134,21329.7151,177600.1435,188094.2391,204669.5923,222398.6023,248130.8024,114.0,3623.8246,1042.3449,1778.0,2814.25,3566.5,4417.0,5465.0,114.0,264233.8596,25486.797,230180.0,244127.75,259263.5,275000.0,319000.0,114.0,224384.2281,25249.7629,188007.0,200645.0,222505.5,241790.25,281695.0
MA,171.0,0.3922,0.1372,0.135,0.2866,0.3923,0.5009,0.6571,171.0,31.655,12.3647,12.0,23.0,29.0,38.0,66.0,171.0,2142.538,2048.5169,285.0,692.5,1029.0,3626.0,7845.0,171.0,394837.9665,128267.7186,238160.8086,294819.3824,343411.9947,493950.5946,654766.0724,171.0,5082.0643,4729.9583,879.0,1618.5,2394.0,9309.0,16936.0,171.0,410175.0117,146229.1705,237600.0,290433.5,344633.0,535483.5,749450.0,171.0,361757.1988,125856.8955,207031.0,261372.0,316022.0,450425.5,627865.0
MD,57.0,0.3898,0.1165,0.1863,0.2991,0.3747,0.5007,0.5864,57.0,37.4912,17.6424,14.0,23.0,33.0,51.0,73.0,57.0,3736.8772,1055.4064,1900.0,2867.0,3701.0,4412.0,6701.0,57.0,314555.8623,30809.4707,275819.1047,284901.7532,307473.6252,343943.236,363943.3644,57.0,9081.9825,2659.0343,5096.0,6853.0,9083.0,11149.0,13645.0,57.0,311344.8596,17315.2298,278100.0,298933.0,310641.0,321667.0,349933.0,57.0,309763.6842,23730.7649,275805.0,289529.0,309467.0,328915.0,348690.0
