,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,zhvi,zhvi,zhvi,zhvi,zhvi,zhvi,zhvi,zhvi,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,median_list_price,median_list_price,median_list_price,median_list_price,median_list_price,median_list_price,median_list_price,median_list_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,440.0,0.572,0.1048,0.2083,0.5036,0.5785,0.6352,0.8222,452.0,51.2434,16.1624,21.0,39.0,49.0,60.0,102.0,470.0,6210.8404,36284.4032,200.0,915.0,1496.5,3128.25,435455.0,470.0,277631.0576,167576.8602,107889.6235,178682.4606,232461.859,301921.5771,1234070.723,470.0,27973.7702,170878.7158,1754.0,3855.25,5901.0,12034.25,1733389.0,470.0,315548.8468,157077.5653,145783.0,224941.5,269600.0,331224.75,1170333.0,470.0,263823.2468,147968.9734,121193.0,181287.75,224851.0,270891.5,1137881.0
2019,1079.0,0.579,0.1008,0.2929,0.5129,0.5785,0.6488,0.8408,1102.0,56.2505,19.2305,22.0,42.0,53.0,66.0,132.0,1128.0,6226.2004,36444.7523,214.0,903.5,1547.0,3171.25,433049.0,1128.0,284508.4047,162678.9634,108580.1334,185762.446,239832.9254,313718.1439,1221739.023,1128.0,26435.8803,160419.2214,1423.0,3508.25,5547.0,10841.0,1693555.0,1128.0,323688.9495,156847.7357,143117.0,234249.75,275732.0,348499.75,1167667.0,1128.0,271814.414,144630.24,122760.0,187649.5,230946.0,286059.0,1091581.0
2020,1095.0,0.5035,0.1199,0.1983,0.4156,0.5031,0.5925,0.8076,1104.0,46.8668,19.751,12.0,32.0,44.0,57.0,124.0,1126.0,6624.2371,39188.4286,217.0,934.25,1679.5,3389.0,468052.0,1127.0,301721.5616,166962.0202,116494.8258,199955.9013,253118.6533,336899.778,1232429.538,1128.0,21523.8067,130111.556,1034.0,2690.25,4467.0,8807.5,1345172.0,1128.0,337606.1197,166396.1033,151267.0,241645.75,287666.5,367827.0,1199317.0,1128.0,293787.7988,152979.4697,131907.0,204838.5,250559.0,316117.0,1182927.0
2021,1117.0,0.321,0.1131,0.1015,0.2388,0.3074,0.3896,0.7228,1124.0,25.3941,12.3314,9.0,17.0,22.0,30.0,84.0,1128.0,7478.6064,43256.6928,194.0,1059.75,1815.0,3835.5,516655.0,1128.0,346916.8393,191600.9716,132940.756,227043.799,291198.3508,396608.5509,1417954.397,1128.0,16841.5337,99637.0929,763.0,2144.25,3423.5,7530.0,1083989.0,1124.0,359093.0427,179877.3616,113333.0,243174.75,303000.0,413562.25,1271333.0,1128.0,338593.2695,178820.3093,142607.0,228513.75,284603.5,380913.5,1352776.0
2022,1128.0,0.3381,0.1243,0.0791,0.2468,0.3192,0.4228,0.7249,1128.0,25.1941,10.6127,8.0,17.0,23.0,31.0,73.0,1128.0,5804.8963,33755.2619,133.0,843.5,1407.5,2996.75,405164.0,1127.0,394977.9169,214962.6464,150139.3587,250210.4776,334539.9647,468520.2109,1591223.865,1128.0,16004.1348,95698.9979,649.0,1985.75,3373.0,7286.25,1101482.0,1127.0,400255.0949,199305.9671,94998.0,270796.0,348333.0,489558.0,1430629.0,1128.0,380222.5443,194497.3619,148314.0,254972.25,329347.0,445207.25,1472859.0
2023,376.0,0.5197,0.1016,0.2378,0.4509,0.524,0.5937,0.7519,376.0,43.234,12.2657,17.0,34.75,43.0,50.25,85.0,376.0,3886.1622,22621.7384,94.0,562.75,970.5,2030.5,262401.0,376.0,395930.1379,204987.9794,172655.7954,265262.7561,341016.0032,461758.3976,1496197.285,376.0,14642.0266,86942.7856,845.0,1689.0,3217.0,6367.25,884129.0,376.0,405646.4415,197377.1645,149933.0,278061.75,352014.5,489541.5,1439333.0,376.0,372893.9069,180048.6205,147070.0,251694.25,330620.5,433509.75,1326501.0
