,region_id,size_rank,region_name,region_type,state_name,date,price_cut_perc_median,price_cut_perc_mean,sales_count_nowcast,mean_days_upto_close,pct_sold_below_list,pct_sold_above_list,median_sale_to_list_ratio,median_sale_price,median_list_price,mean_days_pending,new_pending_count,new_listings_count,invt_for_sale,zori_calc,zhvi,year,state,est_num_sold_below_list
23,394492,32,"Columbus, OH",msa,OH,2018-08-31,0.02572134344,0.03019910906,2703.0,44.0,0.4319700237,0.3773017921,1.0,188377,253950.0,22.0,2358.0,3374,7673,1129.131358,196929.9983,2018,1,1167.6149740611
24,394514,4,"Dallas, TX",msa,TX,2018-08-31,0.02205906867,0.02520821495,9030.0,25.0,0.5145537619,0.2934567064,0.9965318958,259933,324202.0,41.0,7856.0,11538,33567,1348.000792,256578.226,2018,6,4646.420469957
25,394528,90,"Deltona, FL",msa,FL,2018-08-31,0.0249967792,0.02909304245,1608.0,43.0,0.6555297092,0.1277398511,0.9831395973,196014,259933.0,61.0,236.0,1592,6442,1258.370409,213932.0725,2018,14,1054.0917723936
26,394530,19,"Denver, CO",msa,CO,2018-08-31,0.02218977319,0.02474672561,5355.0,36.0,0.3655744723,0.4083041894,1.0,399509,453300.0,23.0,4684.0,5718,12574,1606.907713,437549.5422,2018,18,1957.6512991665
27,394531,84,"Des Moines, IA",msa,IA,2018-08-31,0.02152714655,0.02520906975,1475.0,44.0,0.5681910136,0.2693495933,0.9922312756,189142,263862.0,45.0,760.0,1394,4843,1042.312727,191214.0421,2018,19,838.08174506
28,394532,14,"Detroit, MI",msa,MI,2018-08-31,0.03334988922,0.03833672546,7179.0,47.0,0.513630428,0.3304485261,0.9959342449,176471,220333.0,28.0,3601.0,7939,20176,1048.537946,168175.4211,2018,20,3687.352842612
29,394549,95,"Durham, NC",msa,NC,2018-08-31,0.02749950064,0.0328525586,869.0,39.0,0.4578532478,0.4140016432,1.0,241563,321600.0,30.0,597.0,767,2092,1241.681676,249698.3875,2018,16,397.87447233819995
30,394561,69,"El Paso, TX",msa,TX,2018-08-31,0.02511526166,0.02831894619,658.0,,,,,144346,169133.0,,,706,3660,1075.164676,133277.0379,2018,6,
31,394602,152,"Fort Collins, CO",msa,CO,2018-08-31,0.02293343914,0.02574907597,677.0,37.0,0.4147065877,0.3144079639,1.0,372842,424967.0,33.0,292.0,704,2136,1474.791604,407895.007,2018,18,280.7563598729
32,394619,57,"Fresno, CA",msa,CA,2018-08-31,0.02414397869,0.02785522663,967.0,36.0,0.4280955822,0.3647271539,1.0,261457,306325.0,33.0,181.0,1005,2605,1331.303284,258445.546,2018,7,413.9684279874
33,394640,53,"Grand Rapids, MI",msa,MI,2018-08-31,0.032184817,0.03642829764,2056.0,40.0,0.3975116785,0.4583040483,1.0,185985,248017.0,25.0,613.0,2044,4794,1085.639422,200694.1512,2018,20,817.284010996
34,394648,76,"Greensboro, NC",msa,NC,2018-08-31,0.02651155601,0.03202571168,1062.0,26.0,0.6051914714,0.256487956,0.9864532924,152792,209483.0,52.0,936.0,908,3252,1010.062856,146446.0243,2018,16,642.7133426268
35,394653,61,"Greenville, SC",msa,SC,2018-08-31,0.02484002328,0.02869873673,1373.0,42.0,0.5661509679,0.2202914491,0.9896907728,189439,262967.0,39.0,824.0,1343,4584,1124.143148,177871.9158,2018,15,777.3252789267
36,394669,49,"Hartford, CT",msa,CT,2018-08-31,0.03171362152,0.03603024442,1760.0,50.0,0.5994900311,0.2652451283,0.9860027247,222747,264900.0,47.0,906.0,1817,6707,1332.859372,245229.6041,2018,13,1055.102454736
37,394692,5,"Houston, TX",msa,TX,2018-08-31,0.02657285254,0.03063195401,7219.0,36.0,0.6552667946,0.1651131916,0.9817696415,221454,297800.0,47.0,7009.0,9308,32911,1377.030504,212686.7293,2018,6,4730.3709902174005
38,394705,34,"Indianapolis, IN",msa,IN,2018-08-31,0.02678994848,0.03136268571,3678.0,43.0,0.5371303841,0.2463225574,0.9929398238,174525,229933.0,27.0,2669.0,3548,8733,1089.67438,169659.2304,2018,21,1975.5655527198
39,394714,40,"Jacksonville, FL",msa,FL,2018-08-31,0.02184211489,0.02648639348,2454.0,32.0,0.6415303336,0.1444078917,0.983003349,221199,277600.0,55.0,1998.0,2826,10547,1220.234931,217092.8555,2018,14,1574.3154386544
40,394735,31,"Kansas City, MO",msa,MO,2018-08-31,0.02837416779,0.03328093051,3601.0,35.0,0.4345783515,0.3591718305,1.0,200824,244050.0,35.0,2615.0,4330,12538,1040.793593,196029.2689,2018,22,1564.9166437515
41,394753,65,"Knoxville, TN",msa,TN,2018-08-31,0.02696966931,0.03218014016,1637.0,41.0,0.5614648751,0.1999535671,0.9892571518,178796,243267.0,47.0,1206.0,1604,5468,1076.028657,180925.0507,2018,23,919.1180005387
42,394766,82,"Lakeland, FL",msa,FL,2018-08-31,0.0259924597,0.0297737511,1189.0,43.0,0.6340278799,0.1726880202,0.9836740697,179470,214933.0,39.0,347.0,1110,3413,1255.53294,184661.0959,2018,14,753.8591492011
43,394775,30,"Las Vegas, NV",msa,NV,2018-08-31,0.02063410183,0.02374446917,3881.0,34.0,0.4669026478,0.3082088073,1.0,267692,312500.0,31.0,2312.0,4461,11046,1252.736118,290258.591,2018,24,1812.0491761118
44,394798,81,"Little Rock, AR",msa,AR,2018-08-31,0.026860467,0.03143274555,1064.0,32.0,0.6434205064,0.1198422582,0.9824467539,159147,185933.0,64.0,75.0,1208,5275,896.7579552,146729.5486,2018,25,684.5994188096
45,394807,46,"Louisville, KY",msa,KY,2018-08-31,0.02634185675,0.03026275026,2426.0,41.0,0.5555428736,0.2431813006,0.991074511,177610,236067.0,34.0,849.0,2139,5838,1001.146599,174612.8497,2018,26,1347.7470113535999
46,394816,88,"Madison, WI",msa,WI,2018-08-31,0.02940357027,0.03303894723,1038.0,37.0,0.4032285108,0.4668602527,1.000083354,253602,298233.0,46.0,363.0,1035,3637,1132.655125,280195.4101,2018,27,418.5511942104
47,394843,67,"McAllen, TX",msa,TX,2018-08-31,0.03161090584,0.03839990899,281.0,,,,,144391,189467.0,93.0,41.0,451,2359,910.9754286,107889.6235,2018,6,
48,394849,44,"Memphis, TN",msa,TN,2018-08-31,0.02474586713,0.03101184008,1861.0,33.0,0.5044231954,0.2775720413,0.9972787377,170022,200950.0,43.0,254.0,1736,5776,1029.50409,143174.3528,2018,23,938.7315666394001
49,394856,8,"Miami, FL",msa,FL,2018-08-31,0.02792682728,0.03283252534,8765.0,45.0,0.7979209379,0.08519208468,0.9680602911,262941,369267.0,69.0,4517.0,9919,50432,1792.845185,277636.8414,2018,14,6993.777020693499
50,394862,41,"Milwaukee, WI",msa,WI,2018-08-31,0.03050393532,0.03410786457,2164.0,,,,,214392,255900.0,,463.0,1921,5902,1034.478242,232903.1795,2018,27,
51,394865,16,"Minneapolis, MN",msa,MN,2018-08-31,0.02933835934,0.03215108482,6439.0,41.0,0.3341683797,0.4906494493,1.000151584,246515,308192.0,35.0,3128.0,6572,16615,1407.436919,280053.4979,2018,28,2151.7101968883003
52,394902,37,"Nashville, TN",msa,TN,2018-08-31,0.0234286411,0.02771382184,3554.0,40.0,0.5391950996,0.226218978,0.9950890794,261412,328267.0,38.0,480.0,3224,9476,1402.35364,272219.8588,2018,23,1916.2993839784
53,394908,68,"New Haven, CT",msa,CT,2018-08-31,0.03354114192,0.03831876577,1047.0,53.0,0.6835119827,0.2052217429,0.9777038798,216847,269667.0,50.0,564.0,1085,4285,1461.866293,235032.9047,2018,13,715.6370458869001
54,394910,47,"New Orleans, LA",msa,LA,2018-08-31,0.02906757657,0.03396563803,1132.0,40.0,0.6702321268,0.1335705841,0.9815247365,198363,247967.0,62.0,757.0,1073,4509,1321.09437,185158.909,2018,9,758.7027675376
55,394913,1,"New York, NY",msa,NY,2018-08-31,0.03382777113,0.03865309062,18882.0,63.0,0.6264697711,0.2474252734,0.98410004,402493,526600.0,71.0,6930.0,19991,91251,2681.936714,446343.8445,2018,2,11829.0022179102
56,394931,87,"Ogden, UT",msa,UT,2018-08-31,0.02335676276,0.02617158976,1019.0,27.0,0.3681685784,0.460450125,1.0,266212,321433.0,25.0,287.0,1093,2375,1210.751538,302114.7479,2018,29,375.1637813896
57,394935,42,"Oklahoma City, OK",msa,OK,2018-08-31,0.01976988206,0.0233649695,2090.0,40.0,0.5547700656,0.2654726225,0.9914766236,159834,221617.0,51.0,676.0,2312,8369,1038.307242,151117.9507,2018,30,1159.469437104
58,394938,59,"Omaha, NE",msa,NE,2018-08-31,0.02717794572,0.03075114941,1555.0,42.0,0.4524355639,0.3151821072,1.0,180275,246417.0,36.0,170.0,1587,3965,978.0173871,190856.2876,2018,31,703.5373018645
59,394943,22,"Orlando, FL",msa,FL,2018-08-31,0.02244162102,0.0258008633,4216.0,46.0,0.6312551649,0.1814954027,0.9846074951,232537,289267.0,39.0,1024.0,4340,13088,1421.903601,240436.837,2018,14,2661.3717752184
60,394952,71,"Oxnard, CA",msa,CA,2018-08-31,0.02121000691,0.02485057331,869.0,36.0,0.57279542,0.2650410716,0.9928562455,583219,694000.0,38.0,688.0,901,2601,2275.92567,614588.7155,2018,7,497.75921998000007
61,394974,7,"Philadelphia, PA",msa,PA,2018-08-31,0.02888341536,0.03394347492,8285.0,46.0,0.561326166,0.222935328,0.9892883097,227978,251633.0,52.0,4207.0,8015,28691,1465.240521,233612.5977,2018,4,4650.58728531
62,394976,11,"Phoenix, AZ",msa,AZ,2018-08-31,0.01522272789,0.01727735307,7825.0,29.0,0.5757012745,0.1841339662,0.9904123796,264440,321600.0,49.0,1611.0,7914,25520,1238.072197,276105.6071,2018,32,4504.8624729625
63,394982,27,"Pittsburgh, PA",msa,PA,2018-08-31,0.03593272052,0.04308069187,3303.0,45.0,0.6036767676,0.2205592959,0.9830163474,162349,174633.0,50.0,2144.0,3281,12453,1136.137276,147647.7633,2018,4,1993.9443633828
64,394998,25,"Portland, OR",msa,OR,2018-08-31,0.0262796233,0.02911296197,4092.0,35.0,0.3742516057,0.4009061362,1.0,384402,450300.0,31.0,3420.0,4517,12068,1442.263365,410839.2646,2018,33,1531.4375705244
65,395005,39,"Providence, RI",msa,RI,2018-08-31,0.03359948338,0.0375408838,2154.0,43.0,0.5033178043,0.3603949623,0.997119903,266617,329600.0,41.0,797.0,2342,7914,1379.651331,305814.753,2018,34,1084.1465504622
