,region_id,size_rank,region_name,region_type,state_name,date,price_cut_perc_median,price_cut_perc_mean,sales_count_nowcast,mean_days_upto_close,pct_sold_below_list,pct_sold_above_list,median_sale_to_list_ratio,median_sale_price,median_list_price,mean_days_pending,new_pending_count,new_listings_count,invt_for_sale,zori_calc,zhvi,year,state,month,sunny_hours
0,394304,83,"Akron, OH",msa,OH,2021-01-31,0.04015603055,0.04691821156,495.0,34.0,0.4607410366,0.364943591,1.0,161984,154433.0,41.0,659.0,602,1940,948.5398031,172726.8412,2021,OH,1,6.838709677419355
1,394466,28,"Cincinnati, OH",msa,OH,2021-01-31,0.03356094007,0.03896433641,2029.0,50.0,0.4665293425,0.3439752043,1.0,202293,221483.0,26.0,1826.0,1863,4464,1220.174963,219356.0234,2021,OH,1,6.451612903225806
2,394475,35,"Cleveland, OH",msa,OH,2021-01-31,0.03821189328,0.04367756733,1759.0,40.0,0.4729276046,0.3744082999,1.0,171820,173633.0,54.0,1998.0,1782,6419,1174.923413,177528.314,2021,OH,1,6.774193548387097
3,394492,32,"Columbus, OH",msa,OH,2021-01-31,0.02642104283,0.03190039929,1650.0,48.0,0.3678389086,0.4550582035,1.0,226854,241300.0,23.0,1660.0,1679,3614,1263.034609,242276.579,2021,OH,1,5.838709677419355
4,395160,93,"Toledo, OH",msa,OH,2021-01-31,0.04010367739,0.04575267795,396.0,46.0,0.5168511146,0.3337517151,0.99587504,147889,158933.0,36.0,510.0,511,1425,985.0277991,153982.6249,2021,OH,1,6.516129032258065
5,394304,83,"Akron, OH",msa,OH,2021-02-28,0.04256859513,0.0485593588,480.0,33.0,0.5018977111,0.3376055213,0.9958847737,158361,154433.0,41.0,633.0,535,1656,962.3371849,174818.012,2021,OH,2,5.821428571428571
6,394466,28,"Cincinnati, OH",msa,OH,2021-02-28,0.03431093234,0.04038847017,1888.0,50.0,0.476698581,0.3354946938,1.0,200280,220817.0,26.0,1705.0,1796,4058,1227.503483,222454.914,2021,OH,2,7.142857142857143
7,394475,35,"Cleveland, OH",msa,OH,2021-02-28,0.03919543345,0.04596583179,1444.0,38.0,0.4924321529,0.3434231796,0.9993686508,172419,173267.0,55.0,2023.0,1703,5583,1182.361955,179926.7679,2021,OH,2,5.642857142857143
8,394492,32,"Columbus, OH",msa,OH,2021-02-28,0.02827180399,0.03382610668,1446.0,47.0,0.3884274229,0.435978156,1.0,222924,239633.0,23.0,1627.0,1602,3203,1265.158335,245699.9238,2021,OH,2,5.964285714285714
9,395160,93,"Toledo, OH",msa,OH,2021-02-28,0.03983115472,0.0459453689,348.0,45.0,0.5273914494,0.3151063575,0.993540506,147757,156600.0,38.0,501.0,469,1279,994.802916,156352.4631,2021,OH,2,6.0
10,394304,83,"Akron, OH",msa,OH,2021-03-31,0.04346120908,0.04861246618,673.0,34.0,0.4852967459,0.3635217579,0.9958847737,157641,159433.0,34.0,759.0,652,1558,967.2773521,176988.2998,2021,OH,3,5.741935483870968
11,394466,28,"Cincinnati, OH",msa,OH,2021-03-31,0.03513984018,0.04209081911,2486.0,48.0,0.4778113468,0.3472189321,1.0,198228,224117.0,23.0,2103.0,2191,4187,1234.802853,225635.123,2021,OH,3,5.096774193548387
12,394475,35,"Cleveland, OH",msa,OH,2021-03-31,0.04009855707,0.04809992977,2154.0,38.0,0.4747808769,0.359808629,0.9993686508,170465,177567.0,39.0,2337.0,2106,5254,1189.952456,182372.9197,2021,OH,3,5.774193548387097
13,394492,32,"Columbus, OH",msa,OH,2021-03-31,0.03011527499,0.03557025522,1919.0,47.0,0.3803611484,0.4657858891,1.000928505,222472,243300.0,20.0,2004.0,1933,3258,1273.734787,249508.7632,2021,OH,3,7.129032258064516
14,395160,93,"Toledo, OH",msa,OH,2021-03-31,0.04142450377,0.04918092403,524.0,44.0,0.5080250822,0.3388031925,0.993540506,147816,155600.0,33.0,583.0,565,1257,1000.557602,158612.0052,2021,OH,3,5.387096774193548
